Q1,Q2,Q3,Q4,Q5,Q6
8,5,0,3,4,2
9,5,3.5,2.5,3.5,6.5
9,6,3,3,2.5,7
9,5,3.5,4,3.5,2.5
7,6.5,3.5,4,4,5
9,1,3.5,3.5,4,8
7,9,3.5,4,4,8
8,1,3.5,4,4,8
9,5,0,4,4,9
9,1,2.5,3.5,4,7
5,6,3.5,4,4,7
8,3,3.5,4,3.5,8
7,8.5,5,2.5,4,8
8.5,2,5,3.5,4,5.5
9,6,5,4,4,5
8,0,3.5,3,4,4
9,8,5,4,3.5,7
9,8,3.5,4,4,8.5
8.5,2,3.5,4,4,6
8,1,5,3,3.5,6
6,9,5,3,3,9
6.5,1,5,2.5,4,4
3.5,1,2.5,4,3,7
6,9,5,3.5,4,8.5
8,9,5,4,4,5
8,7,5,4,4,8.5
9,7,3.5,4,4,7
7,6,2.5,4,4.5,5
7,5,5,3,4,3
9,6,3.5,3,3,5
9,4,2,3.5,4,7
9,5,5,3,4,3
9,9,5,2.5,4,8
9,7,3.5,2.5,4,5
7,5,5,4,4,8
8,6,3.5,4,3.5,4
8,6.5,3.5,3.5,4,8.5
9,7.5,3.5,4,4,7
9,4,4,1,4,8
9,5,3.5,4,4,8
8.5,9,5,3.5,4,5
8,4,4,3,4,5
8.5,6,5,2.5,4,3.5
6,2,5,3,4,9
8,9,3.5,4,4,8
0,7.5,5,4,4,9
